# iHydroCal SWAT+ parameter database
# Edit flag=1 to activate a parameter. chg_type can be blank; iHydroCal will use pctchg by default.
"# obj_ids blank means all objects. Use comma-separated IDs like ""1,2,3"" for selected objects."
# Generated from:,"cal_parms.cal:,written,by,SWAT+,editor,v3.0.8,on,11/10/2025,14:48,for,SWAT+,rev.61.0.1"
223,,,,,,,,,,,,,,,,,,,,,,,,
flag,name,chg_type,val,obj_typ,obj_ids,conds,lyr1,lyr2,year1,year2,day1,day2,obj_tot,abs_min,abs_max,parlbnd,parubnd,partrans,pargp,scale,offset,dercom,units,description
0,fps,,1.0e-7,rte,,0,0,0,0,0,0,0,0,1.1,1.9,-50,50,none,fps,1.0,0.0,1,m/m,
0,fpn,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0.01,0.5,-50,50,none,fpn,1.0,0.0,1,null,
0,hc_kh,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0.001,3.75,-50,50,none,hc_kh,1.0,0.0,1,cm3/N-s,
0,hc_hgt,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0.05,5,-50,50,none,hc_hgt,1.0,0.0,1,m,
0,hc_ini,,1.0e-7,rte,,0,0,0,0,0,0,0,0,0,10000,-50,50,none,hc_ini,1.0,0.0,1,m,
0,vol,,1.0e-7,res,,0,0,0,0,0,0,0,0,10,100,-50,50,none,vol,1.0,0.0,1,m**3,
0,sed,,1.0e-7,res,,0,0,0,0,0,0,0,0,1,5000,-50,50,none,sed,1.0,0.0,1,kg/L,
0,orgp,,1.0e-7,res,,0,0,0,0,0,0,0,0,0,1,-50,50,none,orgp,1.0,0.0,1,kg,
0,orgn,,1.0e-7,res,,0,0,0,0,0,0,0,0,0,1,-50,50,none,orgn,1.0,0.0,1,kg,
0,solp,,1.0e-7,res,,0,0,0,0,0,0,0,0,0,1,-50,50,none,solp,1.0,0.0,1,kg,
0,no3,,1.0e-7,res,,0,0,0,0,0,0,0,0,0,1,-50,50,none,no3,1.0,0.0,1,kg,
0,nh3,,1.0e-7,res,,0,0,0,0,0,0,0,0,0,1,-50,50,none,nh3,1.0,0.0,1,kg,
0,no2,,1.0e-7,res,,0,0,0,0,0,0,0,0,0,1,-50,50,none,no2,1.0,0.0,1,kg,
0,esa,,1.0e-7,res,,0,0,0,0,0,0,0,0,0,3000,-50,50,none,esa,1.0,0.0,1,ha,
0,evol,,1.0e-7,res,,0,0,0,0,0,0,0,0,15,3000,-50,50,none,evol,1.0,0.0,1,10^4_m^3_H20,
0,psa,,1.0e-7,res,,0,0,0,0,0,0,0,0,1,1000,-50,50,none,psa,1.0,0.0,1,ha,
0,pvol,,1.0e-7,res,,0,0,0,0,0,0,0,0,10,100,-50,50,none,pvol,1.0,0.0,1,10^4_m^3_H20,
0,k_res,,1.0e-7,res,,0,0,0,0,0,0,0,0,0,1,-50,50,none,k_res,1.0,0.0,1,mm/hr,
0,evrsv,,1.0e-7,res,,0,0,0,0,0,0,0,0,0,1,-50,50,none,evrsv,1.0,0.0,1,null,
0,nsed,,1.0e-7,res,,0,0,0,0,0,0,0,0,1,5000,-50,50,none,nsed,1.0,0.0,1,mg/L,
0,psetlr1,,1.0e-7,res,,0,0,0,0,0,0,0,0,2,20,-50,50,none,psetlr1,1.0,0.0,1,m/day,
0,psetlr2,,1.0e-7,res,,0,0,0,0,0,0,0,0,2,20,-50,50,none,psetlr2,1.0,0.0,1,m/day,
0,nsetlr1,,1.0e-7,res,,0,0,0,0,0,0,0,0,1,15,-50,50,none,nsetlr1,1.0,0.0,1,m/day,
0,nsetlr2,,1.0e-7,res,,0,0,0,0,0,0,0,0,1,15,-50,50,none,nsetlr2,1.0,0.0,1,m/day,
0,chlar,,1.0e-7,res,,0,0,0,0,0,0,0,0,0.5,2,-50,50,none,chlar,1.0,0.0,1,none,
0,seccir,,1.0e-7,res,,0,0,0,0,0,0,0,0,0.5,2,-50,50,none,seccir,1.0,0.0,1,none,
0,alpha,,1.0e-7,aqu,,0,0,0,0,0,0,0,0,0,1,-50,50,none,alpha,1.0,0.0,1,days,
0,bf_max,,1.0e-7,aqu,,0,0,0,0,0,0,0,0,0.1,2,-50,50,none,bf_max,1.0,0.0,1,mm,
0,deep_seep,,1.0e-7,aqu,,0,0,0,0,0,0,0,0,0.001,0.4,-50,50,none,deep_seep,1.0,0.0,1,m/m,
0,sp_yld,,1.0e-7,aqu,,0,0,0,0,0,0,0,0,0,0.5,-50,50,none,sp_yld,1.0,0.0,1,fraction,
0,flo_min,,1.0e-7,aqu,,0,0,0,0,0,0,0,0,0,50,-50,50,none,flo_min,1.0,0.0,1,m,
0,revap_co,,1.0e-7,aqu,,0,0,0,0,0,0,0,0,0.02,0.2,-50,50,none,revap_co,1.0,0.0,1,null,
0,revap_min,,1.0e-7,aqu,,0,0,0,0,0,0,0,0,0,50,-50,50,none,revap_min,1.0,0.0,1,m,
